file,batch,pair_id,variant,model,label,chars
D04942.docx,batch01,abstract-ART000852808,human,human,human,420
D04943.docx,batch01,abstract-ART001886980,human,human,human,804
D04944.docx,batch01,abstract-ART000905240,human,human,human,577
D04945.docx,batch01,abstract-ART000890643,human,human,human,613
D04946.docx,batch01,abstract-ART000864277,human,human,human,984
D04947.docx,batch01,abstract-ART000863277,human,human,human,421
D04948.docx,batch01,abstract-ART000900077,human,human,human,843
D04949.docx,batch01,abstract-ART001942985,human,human,human,730
D04950.docx,batch01,abstract-ART000896072,human,human,human,721
D04951.docx,batch01,abstract-ART002063537,human,human,human,955
D04952.docx,batch01,abstract-ART000888873,human,human,human,321
D04953.docx,batch01,abstract-ART000875411,human,human,human,499
D04954.docx,batch01,abstract-ART000869973,human,human,human,965
D04955.docx,batch01,abstract-ART000865309,human,human,human,576
D04956.docx,batch01,abstract-ART000857910,human,human,human,792
D04957.docx,batch01,abstract-ART000905164,human,human,human,611
D04958.docx,batch01,abstract-ART000892392,human,human,human,629
D04959.docx,batch01,abstract-ART000889545,human,human,human,672
D04960.docx,batch01,abstract-ART000905862,human,human,human,890
D04961.docx,batch01,abstract-ART000905210,human,human,human,623
D04962.docx,batch01,abstract-ART000881789,human,human,human,673
D04963.docx,batch01,abstract-ART000901649,human,human,human,485
D04964.docx,batch01,abstract-ART000851866,human,human,human,637
D04965.docx,batch01,abstract-ART000902251,human,human,human,644
D04966.docx,batch01,abstract-ART000890250,human,human,human,520
D04967.docx,batch01,abstract-ART000893128,human,human,human,864
D04968.docx,batch01,abstract-ART000905960,human,human,human,662
D04969.docx,batch01,abstract-ART001655376,human,human,human,838
D04970.docx,batch01,abstract-ART000879765,human,human,human,450
D04971.docx,batch01,abstract-ART001939122,human,human,human,755
D04972.docx,batch01,abstract-ART000879977,human,human,human,363
D04973.docx,batch01,abstract-ART001834316,human,human,human,422
D04974.docx,batch01,abstract-ART001509907,human,human,human,699
D04975.docx,batch01,abstract-ART000852794,human,human,human,556
D04976.docx,batch01,abstract-ART000902250,human,human,human,621
D04977.docx,batch01,abstract-ART000898045,human,human,human,850
D04978.docx,batch01,abstract-ART000863138,human,human,human,358
D04979.docx,batch01,abstract-ART000906259,human,human,human,516
D04980.docx,batch01,abstract-ART000904798,human,human,human,397
D04981.docx,batch01,abstract-ART000898554,human,human,human,411
D04982.docx,batch01,abstract-ART000869483,human,human,human,588
D04983.docx,batch01,abstract-ART000863078,human,human,human,505
D04984.docx,batch01,abstract-ART000896228,human,human,human,356
D04985.docx,batch01,abstract-ART000858585,human,human,human,685
D04986.docx,batch01,abstract-ART001445714,human,human,human,540
D04987.docx,batch01,abstract-ART000899450,human,human,human,349
D04988.docx,batch01,abstract-ART000881463,human,human,human,972
D04989.docx,batch01,abstract-ART000904702,human,human,human,810
D04990.docx,batch01,abstract-ART000885960,human,human,human,565
D04991.docx,batch01,abstract-ART000861616,human,human,human,574
D04992.docx,batch01,abstract-ART001272823,human,human,human,1091
D04993.docx,batch01,abstract-ART001871286,human,human,human,508
D04994.docx,batch01,abstract-ART002209600,human,human,human,728
D04995.docx,batch01,abstract-ART000905861,human,human,human,561
D04996.docx,batch01,abstract-ART001563940,human,human,human,919
D04997.docx,batch01,abstract-ART000868400,human,human,human,768
D04998.docx,batch01,abstract-ART000864629,human,human,human,356
D04999.docx,batch01,abstract-ART001746080,human,human,human,850
D05000.docx,batch01,abstract-ART000902575,human,human,human,331
D05001.docx,batch01,abstract-ART000881248,human,human,human,429
D05002.docx,batch01,abstract-ART000885214,human,human,human,662
D05003.docx,batch01,abstract-ART000896325,human,human,human,306
D05004.docx,batch01,abstract-ART000902050,human,human,human,987
D05005.docx,batch01,abstract-ART000852535,human,human,human,481
D05006.docx,batch01,abstract-ART000857996,human,human,human,1067
D05007.docx,batch01,abstract-ART000892526,human,human,human,693
D05008.docx,batch01,abstract-ART000896540,human,human,human,539
D05009.docx,batch01,abstract-ART000894529,human,human,human,453
D05010.docx,batch01,abstract-ART000899360,human,human,human,613
D05011.docx,batch01,abstract-ART000902099,human,human,human,343
D05012.docx,batch01,abstract-ART000899341,human,human,human,466
D05013.docx,batch01,abstract-ART002507149,human,human,human,673
D05014.docx,batch01,abstract-ART000863118,human,human,human,447
D05015.docx,batch01,abstract-ART000875313,human,human,human,349
D05016.docx,batch01,abstract-ART000896156,human,human,human,441
D05017.docx,batch01,abstract-ART000877100,human,human,human,484
D05018.docx,batch01,abstract-ART000880660,human,human,human,534
D05019.docx,batch01,abstract-ART000857039,human,human,human,751
D05020.docx,batch01,abstract-ART002176109,human,human,human,723
D05021.docx,batch01,abstract-ART000876016,human,human,human,462
D05022.docx,batch01,abstract-ART000885956,human,human,human,329
D05023.docx,batch01,abstract-ART000881391,human,human,human,738
D05024.docx,batch01,abstract-ART000881874,human,human,human,533
D05025.docx,batch01,abstract-ART000879183,human,human,human,788
D05026.docx,batch01,abstract-ART000864661,human,human,human,813
D05027.docx,batch01,abstract-ART000863991,human,human,human,339
D05028.docx,batch01,abstract-ART000852012,human,human,human,535
D05029.docx,batch01,abstract-ART000880044,human,human,human,326
D05030.docx,batch01,abstract-ART000877515,human,human,human,526
D05031.docx,batch01,abstract-ART000863615,human,human,human,313
D05032.docx,batch01,abstract-ART000854867,human,human,human,520
D05033.docx,batch01,abstract-ART000856304,human,human,human,407
D05034.docx,batch01,abstract-ART000876989,human,human,human,441
D05035.docx,batch01,abstract-ART000900927,human,human,human,472
D05036.docx,batch01,abstract-ART000903413,human,human,human,381
D05037.docx,batch01,abstract-ART000852319,human,human,human,708
D05038.docx,batch01,abstract-ART000879687,human,human,human,701
D05039.docx,batch01,abstract-ART000895383,human,human,human,483
D05040.docx,batch01,abstract-ART000892093,human,human,human,961
D05041.docx,batch01,abstract-ART000893672,human,human,human,355
D05042.docx,batch01,abstract-ART000899359,human,human,human,493
D05043.docx,batch01,abstract-ART000892974,human,human,human,737
D05044.docx,batch01,abstract-ART000850844,human,human,human,608
D05045.docx,batch01,abstract-ART000905160,human,human,human,546
D05046.docx,batch01,abstract-ART000868523,human,human,human,596
D05047.docx,batch01,abstract-ART000895620,human,human,human,406
D05048.docx,batch01,abstract-ART000897461,human,human,human,725
D05049.docx,batch01,abstract-ART000864366,human,human,human,1034
D05050.docx,batch01,abstract-ART002226296,human,human,human,501
D05051.docx,batch01,abstract-ART000861027,human,human,human,1071
D05052.docx,batch01,abstract-ART000864581,human,human,human,726
D05053.docx,batch01,abstract-ART002002267,human,human,human,820
D05054.docx,batch01,abstract-ART000861229,human,human,human,515
D05055.docx,batch01,abstract-ART000892892,human,human,human,401
D05056.docx,batch01,abstract-ART000855392,human,human,human,555
D05057.docx,batch01,abstract-ART000905728,human,human,human,527
D05058.docx,batch01,abstract-ART000869478,human,human,human,997
D05059.docx,batch01,abstract-ART002483683,human,human,human,999
D05060.docx,batch01,abstract-ART000880295,human,human,human,376
D05061.docx,batch01,abstract-ART000861502,human,human,human,544
D05062.docx,batch01,abstract-ART000877322,human,human,human,824
D05063.docx,batch01,abstract-ART000866103,human,human,human,322
D05064.docx,batch01,abstract-ART000893381,human,human,human,884
D05065.docx,batch01,abstract-ART000903387,human,human,human,811
D05066.docx,batch01,abstract-ART000905345,human,human,human,567
D05067.docx,batch01,abstract-ART000850845,human,human,human,671
D05068.docx,batch01,abstract-ART000884050,human,human,human,1197
D05069.docx,batch01,abstract-ART000850962,human,human,human,615
D05070.docx,batch01,abstract-ART000877064,human,human,human,671
D05071.docx,batch01,abstract-ART000861121,human,human,human,827
D05072.docx,batch01,abstract-ART001343480,human,human,human,520
D05073.docx,batch01,abstract-ART000881956,human,human,human,687
D05074.docx,batch01,abstract-ART000875405,human,human,human,588
D05075.docx,batch01,abstract-ART002442175,human,human,human,718
D05076.docx,batch01,abstract-ART000873552,human,human,human,439
D05077.docx,batch01,abstract-ART000892734,human,human,human,429
D05078.docx,batch01,abstract-ART000905686,human,human,human,574
D05079.docx,batch01,abstract-ART000854192,human,human,human,510
D05080.docx,batch01,abstract-ART000852542,human,human,human,412
D05081.docx,batch01,abstract-ART000855627,human,human,human,472
D05082.docx,batch01,abstract-ART000897669,human,human,human,758
D05083.docx,batch01,abstract-ART000866110,human,human,human,706
D05084.docx,batch01,abstract-ART000904766,human,human,human,740
D05085.docx,batch01,abstract-ART000877186,human,human,human,635
D05086.docx,batch01,abstract-ART000857036,human,human,human,1051
D05087.docx,batch01,abstract-ART000881113,human,human,human,619
D05088.docx,batch01,abstract-ART000880729,human,human,human,737
D05089.docx,batch01,abstract-ART000895827,human,human,human,553
D05090.docx,batch01,abstract-ART000905608,human,human,human,475
D05091.docx,batch01,abstract-ART000868514,human,human,human,467
D05092.docx,batch01,abstract-ART001433102,human,human,human,739
D05093.docx,batch01,abstract-ART001939120,human,human,human,574
D05094.docx,batch01,abstract-ART000904409,human,human,human,303
D05095.docx,batch01,abstract-ART000900921,human,human,human,308
D05096.docx,batch01,abstract-ART000867519,human,human,human,497
D05097.docx,batch01,abstract-ART002367730,human,human,human,1060
D05098.docx,batch01,abstract-ART001930169,human,human,human,845
D05099.docx,batch01,abstract-ART000861274,human,human,human,503
D05100.docx,batch01,abstract-ART002495761,human,human,human,507
D05101.docx,batch01,abstract-ART000856088,human,human,human,535
D05102.docx,batch01,abstract-ART000902095,human,human,human,577
D05103.docx,batch01,abstract-ART001621054,human,human,human,785
D05104.docx,batch01,abstract-ART000852199,human,human,human,546
D05105.docx,batch01,abstract-ART000856019,human,human,human,652
D05106.docx,batch01,abstract-ART000900869,human,human,human,516
D05107.docx,batch01,abstract-ART000886287,human,human,human,444
D05108.docx,batch01,abstract-ART002440938,human,human,human,578
D05109.docx,batch01,abstract-ART000851635,human,human,human,443
D05110.docx,batch01,abstract-ART000900136,human,human,human,806
D05111.docx,batch01,abstract-ART000861903,human,human,human,560
D05112.docx,batch01,abstract-ART000899724,human,human,human,532
D05113.docx,batch01,abstract-ART000902520,human,human,human,628
D05114.docx,batch01,abstract-ART000902184,human,human,human,1028
D05115.docx,batch01,abstract-ART000889753,human,human,human,385
D05116.docx,batch01,abstract-ART000902590,human,human,human,569
D05117.docx,batch01,abstract-ART000869488,human,human,human,363
D05118.docx,batch01,abstract-ART000856393,human,human,human,548
D05119.docx,batch01,abstract-ART000889550,human,human,human,476
D05120.docx,batch01,abstract-ART000881227,human,human,human,1004
D05121.docx,batch01,abstract-ART000881026,human,human,human,607
D05122.docx,batch01,abstract-ART000875783,human,human,human,544
D05123.docx,batch01,abstract-ART000870153,human,human,human,820
D05124.docx,batch01,abstract-ART001918301,human,human,human,636
D05125.docx,batch01,abstract-ART000895462,human,human,human,714
D05126.docx,batch01,abstract-ART000888933,human,human,human,469
D05127.docx,batch01,abstract-ART001746661,human,human,human,471
D05128.docx,batch01,abstract-ART000861048,human,human,human,607
D05129.docx,batch01,abstract-ART001578878,human,human,human,879
D05130.docx,batch01,abstract-ART000905485,human,human,human,328
D05131.docx,batch01,abstract-ART000902819,human,human,human,398
D05132.docx,batch01,abstract-ART000863718,human,human,human,485
D05133.docx,batch01,abstract-ART000893120,human,human,human,402
D05134.docx,batch01,abstract-ART000908019,human,human,human,711
D05135.docx,batch01,abstract-ART002123977,human,human,human,446
D05136.docx,batch01,abstract-ART000863199,human,human,human,757
D05137.docx,batch01,abstract-ART000865055,human,human,human,569
D05138.docx,batch01,abstract-ART000861079,human,human,human,569
D05139.docx,batch01,abstract-ART000864755,human,human,human,318
D05140.docx,batch01,abstract-ART000866797,human,human,human,867
D05141.docx,batch01,abstract-ART000905408,human,human,human,328
D05142.docx,batch01,abstract-ART000875035,human,human,human,684
D05143.docx,batch01,abstract-ART000858660,human,human,human,646
D05144.docx,batch01,abstract-ART000890329,human,human,human,528
D05145.docx,batch01,abstract-ART000863065,human,human,human,551
D05146.docx,batch01,abstract-ART000894101,human,human,human,406
D05147.docx,batch01,abstract-ART001950621,human,human,human,694
D05148.docx,batch01,abstract-ART000900158,human,human,human,715
D05149.docx,batch01,abstract-ART000895447,human,human,human,598
D05150.docx,batch01,abstract-ART000869569,human,human,human,732
D05151.docx,batch01,abstract-ART001915180,human,human,human,748
D05152.docx,batch01,abstract-ART002408134,human,human,human,627
D05153.docx,batch01,abstract-ART000883399,human,human,human,619
D05154.docx,batch01,abstract-ART000861205,human,human,human,503
D05155.docx,batch01,abstract-ART000869332,human,human,human,426
D05156.docx,batch01,abstract-ART000861905,human,human,human,563
D05157.docx,batch01,abstract-ART000867754,human,human,human,369
D05158.docx,batch01,abstract-ART000861622,human,human,human,745
D05159.docx,batch01,abstract-ART000868416,human,human,human,932
D05160.docx,batch01,abstract-ART000906322,human,human,human,841
D05161.docx,batch01,abstract-ART000895630,human,human,human,966
D05162.docx,batch01,abstract-ART000891085,human,human,human,919
D05163.docx,batch01,abstract-ART000888574,human,human,human,742
D05164.docx,batch01,abstract-ART000869553,human,human,human,441
D05165.docx,batch01,abstract-ART000860721,human,human,human,544
D05166.docx,batch01,abstract-ART000887443,human,human,human,531
D05167.docx,batch01,abstract-ART002022682,human,human,human,666
D05168.docx,batch01,abstract-ART000889370,human,human,human,425
D05169.docx,batch01,abstract-ART000907358,human,human,human,367
D05170.docx,batch01,abstract-ART000852013,human,human,human,454
D05171.docx,batch01,abstract-ART000868084,human,human,human,591
D05172.docx,batch01,abstract-ART000864486,human,human,human,544
D05173.docx,batch01,abstract-ART000877099,human,human,human,374
D05174.docx,batch01,abstract-ART000889433,human,human,human,1025
D05175.docx,batch01,abstract-ART000898936,human,human,human,667
D05176.docx,batch01,abstract-ART001753037,human,human,human,484
D05177.docx,batch01,abstract-ART000875651,human,human,human,788
D05178.docx,batch01,abstract-ART000886190,human,human,human,411
D05179.docx,batch01,abstract-ART000902357,human,human,human,508
D05180.docx,batch01,abstract-ART000896780,human,human,human,739
D05181.docx,batch01,abstract-ART000888566,human,human,human,725
D05182.docx,batch01,abstract-ART000878982,human,human,human,406
D05183.docx,batch01,abstract-ART000902843,human,human,human,482
D05184.docx,batch01,abstract-ART000906404,human,human,human,642
D05185.docx,batch01,abstract-ART000895756,human,human,human,708
D05186.docx,batch01,abstract-ART000902203,human,human,human,334
D05187.docx,batch01,abstract-ART000905828,human,human,human,330
D05188.docx,batch01,abstract-ART000889007,human,human,human,370
D05189.docx,batch01,abstract-ART000902704,human,human,human,426
D05190.docx,batch01,abstract-ART000880360,human,human,human,796
D05191.docx,batch01,abstract-ART000895558,human,human,human,517
D05192.docx,batch01,abstract-ART002541523,human,human,human,659
D05193.docx,batch01,abstract-ART000869222,human,human,human,443
D05194.docx,batch01,abstract-ART000879684,human,human,human,535
D05195.docx,batch01,abstract-ART000855228,human,human,human,322
D05196.docx,batch01,abstract-ART001445711,human,human,human,528
D05197.docx,batch01,abstract-ART000899725,human,human,human,711
D05198.docx,batch01,abstract-ART000854281,human,human,human,633
D05199.docx,batch01,abstract-ART001621267,human,human,human,708
D05200.docx,batch01,abstract-ART000907170,human,human,human,586
D05201.docx,batch01,abstract-ART000873585,human,human,human,727
D05202.docx,batch01,abstract-ART000888497,human,human,human,319
D05203.docx,batch01,abstract-ART000860333,human,human,human,597
D05204.docx,batch01,abstract-ART000892597,human,human,human,650
D05205.docx,batch01,abstract-ART000862109,human,human,human,797
D05206.docx,batch01,abstract-ART000904788,human,human,human,528
D05207.docx,batch01,abstract-ART000900854,human,human,human,583
D05208.docx,batch01,abstract-ART000858577,human,human,human,814
D05209.docx,batch01,abstract-ART000902880,human,human,human,616
D05210.docx,batch01,abstract-ART002223699,human,human,human,728
D05211.docx,batch01,abstract-ART000869226,human,human,human,471
D05212.docx,batch01,abstract-ART000889390,human,human,human,407
D05213.docx,batch01,abstract-ART000893752,human,human,human,573
D05214.docx,batch01,abstract-ART001550977,human,human,human,801
D05215.docx,batch01,abstract-ART000903134,human,human,human,472
D05216.docx,batch01,abstract-ART000869476,human,human,human,788
D05217.docx,batch01,abstract-ART000863370,human,human,human,404
D05218.docx,batch01,abstract-ART000896510,human,human,human,612
D05219.docx,batch01,abstract-ART000880048,human,human,human,368
D05220.docx,batch01,abstract-ART000864293,human,human,human,374
D05221.docx,batch01,abstract-ART000852635,human,human,human,336
D05222.docx,batch01,abstract-ART000882370,human,human,human,753
D05223.docx,batch01,abstract-ART000888871,human,human,human,833
D05224.docx,batch01,abstract-ART002021271,human,human,human,585
D05225.docx,batch01,abstract-ART000893220,human,human,human,980
D05226.docx,batch01,abstract-ART000889756,human,human,human,394
D05227.docx,batch01,abstract-ART001735922,human,human,human,778
D05228.docx,batch01,abstract-ART000902086,human,human,human,520
D05229.docx,batch01,abstract-ART000857903,human,human,human,1069
D05230.docx,batch01,abstract-ART000877095,human,human,human,721
D05231.docx,batch01,abstract-ART000897667,human,human,human,734
D05232.docx,batch01,abstract-ART000863309,human,human,human,465
D05233.docx,batch01,abstract-ART000907171,human,human,human,682
D05234.docx,batch01,abstract-ART000865178,human,human,human,575
D05235.docx,batch01,abstract-ART001557876,human,human,human,561
D05236.docx,batch01,abstract-ART000861762,human,human,human,753
D05237.docx,batch01,abstract-ART000859643,human,human,human,717
D05238.docx,batch01,abstract-ART001516396,human,human,human,794
D05239.docx,batch01,abstract-ART000863551,human,human,human,487
D05240.docx,batch01,abstract-ART000898446,human,human,human,1041
D05241.docx,batch01,abstract-ART000903376,human,human,human,499
D05242.docx,batch01,abstract-ART000908031,human,human,human,469
D05243.docx,batch01,abstract-ART000903312,human,human,human,366
D05244.docx,batch01,abstract-ART000851282,human,human,human,333
D05245.docx,batch01,abstract-ART000855976,human,human,human,861
D05246.docx,batch01,abstract-ART000868121,human,human,human,929
D05247.docx,batch01,abstract-ART000898989,human,human,human,766
D05248.docx,batch01,abstract-ART000864627,human,human,human,520
D05249.docx,batch01,abstract-ART000899517,human,human,human,1124
D05250.docx,batch01,abstract-ART000861196,human,human,human,585
D05251.docx,batch01,abstract-ART000891080,human,human,human,536
D05252.docx,batch01,abstract-ART000873579,human,human,human,950
D05253.docx,batch01,abstract-ART000869411,human,human,human,326
D05254.docx,batch01,abstract-ART000903356,human,human,human,463
D05255.docx,batch01,abstract-ART000858856,human,human,human,898
D05256.docx,batch01,abstract-ART000898040,human,human,human,796
D05257.docx,batch01,abstract-ART000902315,human,human,human,486
D05258.docx,batch01,abstract-ART000881699,human,human,human,338
D05259.docx,batch01,abstract-ART000877327,human,human,human,458
D05260.docx,batch01,abstract-ART001942446,human,human,human,645
D05261.docx,batch01,abstract-ART000903209,human,human,human,310
D05262.docx,batch01,abstract-ART000852144,human,human,human,437
D05263.docx,batch01,abstract-ART000875928,human,human,human,468
D05264.docx,batch01,abstract-ART000896456,human,human,human,316
D05265.docx,batch01,abstract-ART000852552,human,human,human,589
D05266.docx,batch01,abstract-ART000856300,human,human,human,694
D05267.docx,batch01,abstract-ART000891874,human,human,human,436
D05268.docx,batch01,abstract-ART000900425,human,human,human,589
D05269.docx,batch01,abstract-ART000864118,human,human,human,521
D05270.docx,batch01,abstract-ART000900263,human,human,human,318
D05271.docx,batch01,abstract-ART000876913,human,human,human,451
D05272.docx,batch01,abstract-ART000880367,human,human,human,536
D05273.docx,batch01,abstract-ART000903073,human,human,human,373
D05274.docx,batch01,abstract-ART000896383,human,human,human,307
D05275.docx,batch01,abstract-ART000894212,human,human,human,440
D05276.docx,batch01,abstract-ART001714144,human,human,human,920
D05277.docx,batch01,abstract-ART002408150,human,human,human,578
D05278.docx,batch01,abstract-ART000864660,human,human,human,447
D05279.docx,batch01,abstract-ART000885361,human,human,human,805
D05280.docx,batch01,abstract-ART000888453,human,human,human,555
D05281.docx,batch01,abstract-ART002298935,human,human,human,709
D05282.docx,batch01,abstract-ART002002331,human,human,human,568
D05283.docx,batch01,abstract-ART000873010,human,human,human,735
D05284.docx,batch01,abstract-ART001620407,human,human,human,394
D05285.docx,batch01,abstract-ART000891887,human,human,human,359
D05286.docx,batch01,abstract-ART000901529,human,human,human,433
D05287.docx,batch01,abstract-ART000863084,human,human,human,462
D05288.docx,batch01,abstract-ART002032746,human,human,human,788
D05289.docx,batch01,abstract-ART000903054,human,human,human,397
D05290.docx,batch01,abstract-ART000854096,human,human,human,433
D05291.docx,batch01,abstract-ART000895553,human,human,human,452
D05292.docx,batch01,abstract-ART000874476,human,human,human,1032
D05293.docx,batch01,abstract-ART000898630,human,human,human,358
D05294.docx,batch01,abstract-ART000903492,human,human,human,454
D05295.docx,batch01,abstract-ART000892613,human,human,human,488
D05296.docx,batch01,abstract-ART001548213,human,human,human,545
D05297.docx,batch01,abstract-ART000885496,human,human,human,517
D05298.docx,batch01,abstract-ART000862170,human,human,human,432
D05299.docx,batch01,abstract-ART000862171,human,human,human,477
D05300.docx,batch01,abstract-ART000877416,human,human,human,365
D05301.docx,batch01,abstract-ART000889515,human,human,human,1124
D05302.docx,batch01,abstract-ART000872197,human,human,human,373
D05303.docx,batch01,abstract-ART000881868,human,human,human,1096
D05304.docx,batch01,abstract-ART000856097,human,human,human,497
D05305.docx,batch01,abstract-ART000885308,human,human,human,587
D05306.docx,batch01,abstract-ART000888136,human,human,human,816
D05307.docx,batch01,abstract-ART000880805,human,human,human,534
D05308.docx,batch01,abstract-ART000862081,human,human,human,343
D05309.docx,batch01,abstract-ART000906077,human,human,human,494
D05310.docx,batch01,abstract-ART000901735,human,human,human,781
D05311.docx,batch01,abstract-ART000881955,human,human,human,546
D05312.docx,batch01,abstract-ART000871797,human,human,human,881
D05313.docx,batch01,abstract-ART000885400,human,human,human,499
D05314.docx,batch01,abstract-ART000901878,human,human,human,514
D05315.docx,batch01,abstract-ART000875644,human,human,human,555
D05316.docx,batch01,abstract-ART002002396,human,human,human,627
D05317.docx,batch01,abstract-ART000885042,human,human,human,1022
D05318.docx,batch01,abstract-ART002451644,human,human,human,445
D05319.docx,batch01,abstract-ART000885500,human,human,human,715
D05320.docx,batch01,abstract-ART000905552,human,human,human,772
D05321.docx,batch01,abstract-ART000868194,human,human,human,847
D05322.docx,batch01,abstract-ART000856295,human,human,human,508
D05323.docx,batch01,abstract-ART000879156,human,human,human,441
D05324.docx,batch01,abstract-ART000905607,human,human,human,318
D05325.docx,batch01,abstract-ART000895891,human,human,human,891
D05326.docx,batch01,abstract-ART000896013,human,human,human,474
D05327.docx,batch01,abstract-ART000867417,human,human,human,963
D05328.docx,batch01,abstract-ART000856063,human,human,human,1050
D05329.docx,batch01,abstract-ART002061514,human,human,human,764
D05330.docx,batch01,abstract-ART000875852,human,human,human,837
D05331.docx,batch01,abstract-ART000873229,human,human,human,433
D05332.docx,batch01,abstract-ART000850961,human,human,human,533
D05333.docx,batch01,abstract-ART000871984,human,human,human,1048
D05334.docx,batch01,abstract-ART000878287,human,human,human,474
D05335.docx,batch01,abstract-ART000863560,human,human,human,353
D05336.docx,batch01,abstract-ART000877182,human,human,human,498
D05337.docx,batch01,abstract-ART000880869,human,human,human,591
D05338.docx,batch01,abstract-ART000892550,human,human,human,410
D05339.docx,batch01,abstract-ART000888618,human,human,human,876
D05340.docx,batch01,abstract-ART002000392,human,human,human,776
D05341.docx,batch01,abstract-ART000906325,human,human,human,488
D05342.docx,batch01,abstract-ART000879090,human,human,human,483
D05343.docx,batch01,abstract-ART000863214,human,human,human,685
D05344.docx,batch01,abstract-ART002032201,human,human,human,436
D05345.docx,batch01,abstract-ART000880134,human,human,human,362
D05346.docx,batch01,abstract-ART001746085,human,human,human,1001
D05347.docx,batch01,abstract-ART000852640,human,human,human,571
D05348.docx,batch01,abstract-ART000878919,human,human,human,972
D05349.docx,batch01,abstract-ART000902755,human,human,human,428
D05350.docx,batch01,abstract-ART000874753,human,human,human,434
D05351.docx,batch01,abstract-ART001506880,human,human,human,624
D05352.docx,batch01,abstract-ART000881937,human,human,human,1065
D05353.docx,batch01,abstract-ART000904021,human,human,human,703
D05354.docx,batch01,abstract-ART000900616,human,human,human,379
D05355.docx,batch01,abstract-ART002407404,human,human,human,525
D05356.docx,batch01,abstract-ART000875846,human,human,human,753
D05357.docx,batch01,abstract-ART000880941,human,human,human,551
D05358.docx,batch01,abstract-ART000904970,human,human,human,435
D05359.docx,batch01,abstract-ART002093421,human,human,human,563
D05360.docx,batch01,abstract-ART000880330,human,human,human,561
D05361.docx,batch01,abstract-ART000899958,human,human,human,472
D05362.docx,batch01,abstract-ART000901086,human,human,human,482
D05363.docx,batch01,abstract-ART000884989,human,human,human,765
D05364.docx,batch01,abstract-ART000869975,human,human,human,810
D05365.docx,batch01,abstract-ART000887186,human,human,human,360
D05366.docx,batch01,abstract-ART000890333,human,human,human,775
D05367.docx,batch01,abstract-ART000871719,human,human,human,503
D05368.docx,batch01,abstract-ART000863632,human,human,human,561
D05369.docx,batch01,abstract-ART002147929,human,human,human,435
D05370.docx,batch01,abstract-ART000906612,human,human,human,577
D05371.docx,batch01,abstract-ART000863791,human,human,human,429
D05372.docx,batch01,abstract-ART001517049,human,human,human,376
D05373.docx,batch01,abstract-ART000895481,human,human,human,537
D05374.docx,batch01,abstract-ART000852626,human,human,human,607
D05375.docx,batch01,abstract-ART000851307,human,human,human,921
D05376.docx,batch01,abstract-ART000855396,human,human,human,812
D05377.docx,batch01,abstract-ART000888817,human,human,human,710
D05378.docx,batch01,abstract-ART000905806,human,human,human,534
D05379.docx,batch01,abstract-ART000894618,human,human,human,534
D05380.docx,batch01,abstract-ART000852345,human,human,human,990
