0.01.683.837 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.461.644 W srv  llama_server: -----------------
0.02.461.649 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.02.461.649 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.02.461.650 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.02.461.650 W srv  llama_server: -----------------
0.02.463.171 I srv    load_model: loading model '/workspace/models/midm-11b-Q4_K_M.gguf'
0.05.342.294 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'false'
0.05.357.232 I srv  llama_server: model loaded
0.05.357.243 I srv  llama_server: listening on http://127.0.0.1:8081
0.10.140.125 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.29.180.610 I slot print_timing: id  0 | task 4 |    graphs reused =        378
0.29.181.036 I slot      release: id  0 | task 4 | stop processing: n_tokens = 981, truncated = 0
0.29.220.567 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.843 (> 0.100 thold), f_keep = 0.521
0.29.220.639 I slot launch_slot_: id  0 | task 389 | processing task, is_child = 0
0.29.411.016 I slot print_timing: id  1 | task 1 | n_decoded =    385, tg =  22.45 t/s, tg_3s =  21.54 t/s
0.29.411.335 I slot print_timing: id  2 | task 2 | n_decoded =    385, tg =  22.45 t/s, tg_3s =  21.54 t/s
0.30.499.370 I slot print_timing: id  2 | task 2 | prompt eval time =    2120.70 ms /   594 tokens (    3.57 ms per token,   280.10 tokens per second)
0.30.499.376 I slot print_timing: id  2 | task 2 |        eval time =   18237.77 ms /   411 tokens (   44.37 ms per token,    22.54 tokens per second)
0.30.499.377 I slot print_timing: id  2 | task 2 |       total time =   20358.47 ms /  1005 tokens
0.30.499.379 I slot print_timing: id  2 | task 2 |    graphs reused =        404
0.30.499.490 I slot      release: id  2 | task 2 | stop processing: n_tokens = 1004, truncated = 0
0.30.545.259 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.850 (> 0.100 thold), f_keep = 0.509
0.30.545.320 I slot launch_slot_: id  2 | task 418 | processing task, is_child = 0
0.31.667.972 I slot print_timing: id  1 | task 1 | prompt eval time =    2120.03 ms /   597 tokens (    3.55 ms per token,   281.60 tokens per second)
0.31.667.980 I slot print_timing: id  1 | task 1 |        eval time =   19407.51 ms /   435 tokens (   44.61 ms per token,    22.41 tokens per second)
0.31.667.982 I slot print_timing: id  1 | task 1 |       total time =   21527.54 ms /  1032 tokens
0.31.667.999 I slot print_timing: id  1 | task 1 |    graphs reused =        424
0.31.668.100 I slot      release: id  1 | task 1 | stop processing: n_tokens = 1031, truncated = 0
0.31.668.763 I slot print_timing: id  3 | task 339 | n_decoded =    100, tg =  22.40 t/s, tg_3s =  22.40 t/s
0.31.711.774 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.852 (> 0.100 thold), f_keep = 0.496
0.31.847.394 I slot launch_slot_: id  1 | task 443 | processing task, is_child = 0
0.34.020.874 I slot print_timing: id  0 | task 389 | n_decoded =    100, tg =  21.69 t/s, tg_3s =  21.69 t/s
0.34.688.008 I slot print_timing: id  3 | task 339 | n_decoded =    165, tg =  22.05 t/s, tg_3s =  21.53 t/s
0.35.191.998 I slot print_timing: id  2 | task 418 | n_decoded =    100, tg =  22.51 t/s, tg_3s =  22.51 t/s
0.36.197.216 I slot print_timing: id  1 | task 443 | n_decoded =    100, tg =  24.11 t/s, tg_3s =  24.11 t/s
0.37.030.851 I slot print_timing: id  0 | task 389 | n_decoded =    172, tg =  22.57 t/s, tg_3s =  23.92 t/s
0.37.705.080 I slot print_timing: id  3 | task 339 | n_decoded =    237, tg =  22.57 t/s, tg_3s =  23.86 t/s
0.38.212.109 I slot print_timing: id  2 | task 418 | n_decoded =    172, tg =  23.05 t/s, tg_3s =  23.84 t/s
0.39.225.149 I slot print_timing: id  1 | task 443 | n_decoded =    172, tg =  23.97 t/s, tg_3s =  23.78 t/s
0.40.069.475 I slot print_timing: id  0 | task 389 | n_decoded =    244, tg =  22.89 t/s, tg_3s =  23.69 t/s
0.40.707.206 I slot print_timing: id  3 | task 339 | n_decoded =    308, tg =  22.81 t/s, tg_3s =  23.65 t/s
0.41.216.695 I slot print_timing: id  2 | task 418 | n_decoded =    243, tg =  23.21 t/s, tg_3s =  23.63 t/s
0.42.230.948 I slot print_timing: id  1 | task 443 | n_decoded =    243, tg =  23.87 t/s, tg_3s =  23.62 t/s
0.43.078.394 I slot print_timing: id  0 | task 389 | n_decoded =    315, tg =  23.05 t/s, tg_3s =  23.60 t/s
0.43.716.129 I slot print_timing: id  3 | task 339 | n_decoded =    379, tg =  22.95 t/s, tg_3s =  23.60 t/s
0.44.224.542 I slot print_timing: id  2 | task 418 | n_decoded =    314, tg =  23.30 t/s, tg_3s =  23.60 t/s
0.45.197.442 I slot print_timing: id  0 | task 389 | prompt eval time =     190.08 ms /    95 tokens (    2.00 ms per token,   499.79 tokens per second)
0.45.197.447 I slot print_timing: id  0 | task 389 |        eval time =   15786.71 ms /   365 tokens (   43.25 ms per token,    23.12 tokens per second)
0.45.197.448 I slot print_timing: id  0 | task 389 |       total time =   15976.79 ms /   460 tokens
0.45.197.449 I slot print_timing: id  0 | task 389 |    graphs reused =        734
0.45.197.795 I slot      release: id  0 | task 389 | stop processing: n_tokens = 970, truncated = 0
0.45.234.878 I slot print_timing: id  1 | task 443 | n_decoded =    314, tg =  23.82 t/s, tg_3s =  23.64 t/s
0.45.235.508 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.845 (> 0.100 thold), f_keep = 0.527
0.45.235.574 I slot launch_slot_: id  0 | task 758 | processing task, is_child = 0
0.45.427.054 I slot print_timing: id  3 | task 339 | prompt eval time =     195.54 ms /    86 tokens (    2.27 ms per token,   439.81 tokens per second)
0.45.427.060 I slot print_timing: id  3 | task 339 |        eval time =   18223.30 ms /   416 tokens (   43.81 ms per token,    22.83 tokens per second)
0.45.427.061 I slot print_timing: id  3 | task 339 |       total time =   18418.84 ms /   502 tokens
0.45.427.062 I slot print_timing: id  3 | task 339 |    graphs reused =        735
0.45.427.175 I slot      release: id  3 | task 339 | stop processing: n_tokens = 1012, truncated = 0
0.45.463.798 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.839 (> 0.100 thold), f_keep = 0.505
0.45.463.872 I slot launch_slot_: id  3 | task 761 | processing task, is_child = 0
0.46.162.793 I slot print_timing: id  2 | task 418 | prompt eval time =     203.95 ms /    90 tokens (    2.27 ms per token,   441.28 tokens per second)
0.46.162.799 I slot print_timing: id  2 | task 418 |        eval time =   15413.50 ms /   352 tokens (   43.79 ms per token,    22.84 tokens per second)
0.46.162.800 I slot print_timing: id  2 | task 418 |       total time =   15617.46 ms /   442 tokens
0.46.162.801 I slot print_timing: id  2 | task 418 |    graphs reused =        745
0.46.162.907 I slot      release: id  2 | task 418 | stop processing: n_tokens = 952, truncated = 0
0.46.207.422 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.856 (> 0.100 thold), f_keep = 0.537
0.46.207.487 I slot launch_slot_: id  2 | task 775 | processing task, is_child = 0
0.48.260.768 I slot print_timing: id  1 | task 443 | n_decoded =    374, tg =  23.07 t/s, tg_3s =  19.83 t/s
0.49.941.697 I slot print_timing: id  0 | task 758 | n_decoded =    100, tg =  22.15 t/s, tg_3s =  22.15 t/s
0.50.027.130 I slot print_timing: id  3 | task 761 | n_decoded =    100, tg =  23.10 t/s, tg_3s =  23.10 t/s
0.50.236.220 I slot print_timing: id  1 | task 443 | prompt eval time =     202.61 ms /    89 tokens (    2.28 ms per token,   439.27 tokens per second)
0.50.236.226 I slot print_timing: id  1 | task 443 |        eval time =   18186.18 ms /   421 tokens (   43.20 ms per token,    23.15 tokens per second)
0.50.236.227 I slot print_timing: id  1 | task 443 |       total time =   18388.79 ms /   510 tokens
0.50.236.228 I slot print_timing: id  1 | task 443 |    graphs reused =        835
0.50.236.343 I slot      release: id  1 | task 443 | stop processing: n_tokens = 1020, truncated = 0
0.50.280.560 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.855 (> 0.100 thold), f_keep = 0.501
0.50.280.622 I slot launch_slot_: id  1 | task 869 | processing task, is_child = 0
0.50.742.074 I slot print_timing: id  2 | task 775 | n_decoded =    100, tg =  23.10 t/s, tg_3s =  23.10 t/s
0.52.963.584 I slot print_timing: id  0 | task 758 | n_decoded =    168, tg =  22.29 t/s, tg_3s =  22.50 t/s
0.53.047.815 I slot print_timing: id  3 | task 761 | n_decoded =    168, tg =  22.86 t/s, tg_3s =  22.51 t/s
0.53.766.974 I slot print_timing: id  2 | task 775 | n_decoded =    172, tg =  23.39 t/s, tg_3s =  23.80 t/s
0.54.656.873 I slot print_timing: id  1 | task 869 | n_decoded =    100, tg =  23.97 t/s, tg_3s =  23.97 t/s
0.55.968.549 I slot print_timing: id  0 | task 758 | n_decoded =    239, tg =  22.67 t/s, tg_3s =  23.63 t/s
0.56.053.138 I slot print_timing: id  3 | task 761 | n_decoded =    239, tg =  23.08 t/s, tg_3s =  23.62 t/s
0.56.770.508 I slot print_timing: id  2 | task 775 | n_decoded =    243, tg =  23.46 t/s, tg_3s =  23.64 t/s
0.57.698.367 I slot print_timing: id  1 | task 869 | n_decoded =    172, tg =  23.85 t/s, tg_3s =  23.67 t/s
0.58.975.565 I slot print_timing: id  0 | task 758 | n_decoded =    310, tg =  22.88 t/s, tg_3s =  23.61 t/s
0.59.061.544 I slot print_timing: id  3 | task 761 | n_decoded =    310, tg =  23.20 t/s, tg_3s =  23.60 t/s
0.59.786.825 I slot print_timing: id  2 | task 775 | n_decoded =    314, tg =  23.48 t/s, tg_3s =  23.54 t/s
1.00.295.558 I slot print_timing: id  0 | task 758 | prompt eval time =     190.62 ms /    94 tokens (    2.03 ms per token,   493.14 tokens per second)
1.00.295.579 I slot print_timing: id  0 | task 758 |        eval time =   14869.35 ms /   341 tokens (   43.61 ms per token,    22.93 tokens per second)
1.00.295.580 I slot print_timing: id  0 | task 758 |       total time =   15059.97 ms /   435 tokens
1.00.295.582 I slot print_timing: id  0 | task 758 |    graphs reused =       1065
1.00.295.688 I slot      release: id  0 | task 758 | stop processing: n_tokens = 945, truncated = 0
1.00.332.873 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.855 (> 0.100 thold), f_keep = 0.541
1.00.332.941 I slot launch_slot_: id  0 | task 1104 | processing task, is_child = 0
1.00.740.039 I slot print_timing: id  1 | task 869 | n_decoded =    240, tg =  23.40 t/s, tg_3s =  22.36 t/s
1.02.098.191 I slot print_timing: id  3 | task 761 | n_decoded =    378, tg =  23.05 t/s, tg_3s =  22.39 t/s
1.02.437.052 I slot print_timing: id  2 | task 775 | prompt eval time =     205.01 ms /    86 tokens (    2.38 ms per token,   419.50 tokens per second)
1.02.437.058 I slot print_timing: id  2 | task 775 |        eval time =   16024.55 ms /   373 tokens (   42.96 ms per token,    23.28 tokens per second)
1.02.437.059 I slot print_timing: id  2 | task 775 |       total time =   16229.55 ms /   459 tokens
1.02.437.061 I slot print_timing: id  2 | task 775 |    graphs reused =       1110
1.02.437.171 I slot      release: id  2 | task 775 | stop processing: n_tokens = 969, truncated = 0
1.02.481.653 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.857 (> 0.100 thold), f_keep = 0.527
1.02.481.720 I slot launch_slot_: id  2 | task 1152 | processing task, is_child = 0
1.03.744.285 I slot print_timing: id  1 | task 869 | n_decoded =    307, tg =  23.15 t/s, tg_3s =  22.30 t/s
1.04.720.070 I slot print_timing: id  3 | task 761 | prompt eval time =     234.70 ms /    98 tokens (    2.39 ms per token,   417.56 tokens per second)
1.04.720.076 I slot print_timing: id  3 | task 761 |        eval time =   19021.49 ms /   436 tokens (   43.63 ms per token,    22.92 tokens per second)
1.04.720.077 I slot print_timing: id  3 | task 761 |       total time =   19256.18 ms /   534 tokens
1.04.720.097 I slot print_timing: id  3 | task 761 |    graphs reused =       1156
1.04.720.187 I slot      release: id  3 | task 761 | stop processing: n_tokens = 1044, truncated = 0
1.04.756.608 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.849 (> 0.100 thold), f_keep = 0.489
1.04.893.014 I slot launch_slot_: id  3 | task 1203 | processing task, is_child = 0
1.05.176.872 I slot print_timing: id  0 | task 1104 | n_decoded =    100, tg =  21.50 t/s, tg_3s =  21.50 t/s
1.06.533.487 I slot print_timing: id  1 | task 869 | prompt eval time =     204.86 ms /    87 tokens (    2.35 ms per token,   424.69 tokens per second)
1.06.533.493 I slot print_timing: id  1 | task 869 |        eval time =   16047.99 ms /   366 tokens (   43.85 ms per token,    22.81 tokens per second)
1.06.533.494 I slot print_timing: id  1 | task 869 |       total time =   16252.85 ms /   453 tokens
1.06.533.496 I slot print_timing: id  1 | task 869 |    graphs reused =       1189
1.06.533.600 I slot      release: id  1 | task 869 | stop processing: n_tokens = 963, truncated = 0
1.06.577.413 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.855 (> 0.100 thold), f_keep = 0.531
1.06.577.476 I slot launch_slot_: id  1 | task 1240 | processing task, is_child = 0
1.07.336.583 I slot print_timing: id  2 | task 1152 | n_decoded =    100, tg =  21.51 t/s, tg_3s =  21.51 t/s
1.08.214.898 I slot print_timing: id  0 | task 1104 | n_decoded =    168, tg =  21.85 t/s, tg_3s =  22.38 t/s
1.09.440.097 I slot print_timing: id  3 | task 1203 | n_decoded =    100, tg =  22.99 t/s, tg_3s =  22.99 t/s
1.10.367.823 I slot print_timing: id  2 | task 1152 | n_decoded =    172, tg =  22.39 t/s, tg_3s =  23.75 t/s
1.10.964.524 I slot print_timing: id  1 | task 1240 | n_decoded =    100, tg =  23.90 t/s, tg_3s =  23.90 t/s
1.11.217.208 I slot print_timing: id  0 | task 1104 | n_decoded =    239, tg =  22.35 t/s, tg_3s =  23.65 t/s
1.12.441.478 I slot print_timing: id  3 | task 1203 | n_decoded =    171, tg =  23.26 t/s, tg_3s =  23.66 t/s
1.13.377.637 I slot print_timing: id  2 | task 1152 | n_decoded =    243, tg =  22.73 t/s, tg_3s =  23.59 t/s
1.13.971.967 I slot print_timing: id  1 | task 1240 | n_decoded =    171, tg =  23.78 t/s, tg_3s =  23.61 t/s
1.14.229.011 I slot print_timing: id  0 | task 1104 | n_decoded =    310, tg =  22.62 t/s, tg_3s =  23.57 t/s
1.15.464.665 I slot print_timing: id  3 | task 1203 | n_decoded =    242, tg =  23.33 t/s, tg_3s =  23.49 t/s
1.16.401.223 I slot print_timing: id  2 | task 1152 | n_decoded =    314, tg =  22.90 t/s, tg_3s =  23.48 t/s
1.16.998.390 I slot print_timing: id  1 | task 1240 | n_decoded =    242, tg =  23.69 t/s, tg_3s =  23.46 t/s
1.17.254.490 I slot print_timing: id  0 | task 1104 | n_decoded =    381, tg =  22.77 t/s, tg_3s =  23.47 t/s
1.18.489.296 I slot print_timing: id  3 | task 1203 | n_decoded =    313, tg =  23.36 t/s, tg_3s =  23.47 t/s
1.19.429.783 I slot print_timing: id  2 | task 1152 | n_decoded =    385, tg =  22.99 t/s, tg_3s =  23.44 t/s
1.19.643.798 I slot print_timing: id  0 | task 1104 | prompt eval time =     192.52 ms /    87 tokens (    2.21 ms per token,   451.90 tokens per second)
1.19.643.804 I slot print_timing: id  0 | task 1104 |        eval time =   19118.32 ms /   437 tokens (   43.75 ms per token,    22.86 tokens per second)
1.19.643.805 I slot print_timing: id  0 | task 1104 |       total time =   19310.84 ms /   524 tokens
1.19.643.825 I slot print_timing: id  0 | task 1104 |    graphs reused =       1489
1.19.644.064 I slot      release: id  0 | task 1104 | stop processing: n_tokens = 1034, truncated = 0
1.19.682.052 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.857 (> 0.100 thold), f_keep = 0.494
1.19.818.026 I slot launch_slot_: id  0 | task 1546 | processing task, is_child = 0
1.20.008.460 I slot print_timing: id  1 | task 1240 | n_decoded =    306, tg =  23.13 t/s, tg_3s =  21.26 t/s
1.21.499.773 I slot print_timing: id  3 | task 1203 | n_decoded =    377, tg =  22.97 t/s, tg_3s =  21.26 t/s
1.22.437.457 I slot print_timing: id  2 | task 1152 | n_decoded =    449, tg =  22.73 t/s, tg_3s =  21.28 t/s
1.23.033.796 I slot print_timing: id  1 | task 1240 | n_decoded =    377, tg =  23.20 t/s, tg_3s =  23.47 t/s
1.23.162.526 I slot print_timing: id  1 | task 1240 | prompt eval time =     203.70 ms /    87 tokens (    2.34 ms per token,   427.09 tokens per second)
1.23.162.532 I slot print_timing: id  1 | task 1240 |        eval time =   16381.33 ms /   380 tokens (   43.11 ms per token,    23.20 tokens per second)
1.23.162.533 I slot print_timing: id  1 | task 1240 |       total time =   16585.03 ms /   467 tokens
1.23.162.534 I slot print_timing: id  1 | task 1240 |    graphs reused =       1562
1.23.162.655 I slot      release: id  1 | task 1240 | stop processing: n_tokens = 977, truncated = 0
1.23.207.493 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.860 (> 0.100 thold), f_keep = 0.526
1.23.207.556 I slot launch_slot_: id  1 | task 1623 | processing task, is_child = 0
1.23.587.507 I slot print_timing: id  3 | task 1203 | prompt eval time =     197.16 ms /    91 tokens (    2.17 ms per token,   461.55 tokens per second)
1.23.587.512 I slot print_timing: id  3 | task 1203 |        eval time =   18497.29 ms /   422 tokens (   43.83 ms per token,    22.81 tokens per second)
1.23.587.514 I slot print_timing: id  3 | task 1203 |       total time =   18694.45 ms /   513 tokens
1.23.587.515 I slot print_timing: id  3 | task 1203 |    graphs reused =       1565
1.23.587.622 I slot      release: id  3 | task 1203 | stop processing: n_tokens = 1023, truncated = 0
1.23.624.727 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.847 (> 0.100 thold), f_keep = 0.500
1.23.758.230 I slot launch_slot_: id  3 | task 1630 | processing task, is_child = 0
1.24.299.496 I slot print_timing: id  2 | task 1152 | prompt eval time =     204.80 ms /    85 tokens (    2.41 ms per token,   415.04 tokens per second)
1.24.299.502 I slot print_timing: id  2 | task 1152 |        eval time =   21612.96 ms /   482 tokens (   44.84 ms per token,    22.30 tokens per second)
1.24.299.504 I slot print_timing: id  2 | task 1152 |       total time =   21817.76 ms /   567 tokens
1.24.299.505 I slot print_timing: id  2 | task 1152 |    graphs reused =       1572
1.24.299.618 I slot      release: id  2 | task 1152 | stop processing: n_tokens = 1077, truncated = 0
1.24.343.494 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.849 (> 0.100 thold), f_keep = 0.474
1.24.483.188 I slot launch_slot_: id  2 | task 1641 | processing task, is_child = 0
1.24.985.320 I slot print_timing: id  0 | task 1546 | n_decoded =    100, tg =  20.09 t/s, tg_3s =  20.09 t/s
1.28.005.930 I slot print_timing: id  0 | task 1546 | n_decoded =    172, tg =  21.51 t/s, tg_3s =  23.84 t/s
1.28.175.335 I slot print_timing: id  1 | task 1623 | n_decoded =    100, tg =  20.99 t/s, tg_3s =  20.99 t/s
1.28.428.830 I slot print_timing: id  3 | task 1630 | n_decoded =    100, tg =  22.36 t/s, tg_3s =  22.36 t/s
1.28.849.136 I slot print_timing: id  2 | task 1641 | n_decoded =    100, tg =  24.04 t/s, tg_3s =  24.04 t/s
1.31.042.371 I slot print_timing: id  0 | task 1546 | n_decoded =    244, tg =  22.11 t/s, tg_3s =  23.71 t/s
1.31.208.827 I slot print_timing: id  1 | task 1623 | n_decoded =    172, tg =  22.06 t/s, tg_3s =  23.74 t/s
1.31.464.571 I slot print_timing: id  3 | task 1630 | n_decoded =    172, tg =  22.91 t/s, tg_3s =  23.72 t/s
1.31.889.881 I slot print_timing: id  2 | task 1641 | n_decoded =    172, tg =  23.89 t/s, tg_3s =  23.68 t/s
1.34.062.336 I slot print_timing: id  0 | task 1546 | n_decoded =    315, tg =  22.41 t/s, tg_3s =  23.51 t/s
1.34.232.397 I slot print_timing: id  1 | task 1623 | n_decoded =    243, tg =  22.46 t/s, tg_3s =  23.48 t/s
1.34.489.688 I slot print_timing: id  3 | task 1630 | n_decoded =    243, tg =  23.07 t/s, tg_3s =  23.47 t/s
1.34.914.987 I slot print_timing: id  2 | task 1641 | n_decoded =    243, tg =  23.76 t/s, tg_3s =  23.47 t/s
1.35.942.756 I slot print_timing: id  0 | task 1546 | prompt eval time =     190.04 ms /    85 tokens (    2.24 ms per token,   447.28 tokens per second)
1.35.942.761 I slot print_timing: id  0 | task 1546 |        eval time =   15934.65 ms /   359 tokens (   44.39 ms per token,    22.53 tokens per second)
1.35.942.762 I slot print_timing: id  0 | task 1546 |       total time =   16124.69 ms /   444 tokens
1.35.942.764 I slot print_timing: id  0 | task 1546 |    graphs reused =       1836
1.35.942.877 I slot      release: id  0 | task 1546 | stop processing: n_tokens = 954, truncated = 0
1.35.980.372 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.855 (> 0.100 thold), f_keep = 0.536
1.35.980.464 I slot launch_slot_: id  0 | task 1910 | processing task, is_child = 0
1.37.246.821 I slot print_timing: id  1 | task 1623 | n_decoded =    310, tg =  22.41 t/s, tg_3s =  22.23 t/s
1.37.503.781 I slot print_timing: id  3 | task 1630 | n_decoded =    310, tg =  22.88 t/s, tg_3s =  22.23 t/s
1.37.930.345 I slot print_timing: id  2 | task 1641 | n_decoded =    310, tg =  23.41 t/s, tg_3s =  22.22 t/s
1.40.274.436 I slot print_timing: id  1 | task 1623 | n_decoded =    381, tg =  22.59 t/s, tg_3s =  23.45 t/s
1.40.401.535 I slot print_timing: id  0 | task 1910 | n_decoded =    100, tg =  23.65 t/s, tg_3s =  23.65 t/s
1.40.531.902 I slot print_timing: id  3 | task 1630 | n_decoded =    381, tg =  22.99 t/s, tg_3s =  23.45 t/s
1.40.959.571 I slot print_timing: id  2 | task 1641 | n_decoded =    381, tg =  23.42 t/s, tg_3s =  23.44 t/s
1.42.584.789 I slot print_timing: id  3 | task 1630 | prompt eval time =     198.93 ms /    92 tokens (    2.16 ms per token,   462.47 tokens per second)
1.42.584.796 I slot print_timing: id  3 | task 1630 |        eval time =   18627.58 ms /   429 tokens (   43.42 ms per token,    23.03 tokens per second)
1.42.584.797 I slot print_timing: id  3 | task 1630 |       total time =   18826.51 ms /   521 tokens
1.42.584.798 I slot print_timing: id  3 | task 1630 |    graphs reused =       1985
1.42.585.145 I slot      release: id  3 | task 1630 | stop processing: n_tokens = 1031, truncated = 0
1.42.622.475 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.862 (> 0.100 thold), f_keep = 0.496
1.42.756.370 I slot launch_slot_: id  3 | task 2063 | processing task, is_child = 0
1.43.301.019 I slot print_timing: id  1 | task 1623 | n_decoded =    445, tg =  22.37 t/s, tg_3s =  21.15 t/s
1.43.429.533 I slot print_timing: id  0 | task 1910 | n_decoded =    164, tg =  22.60 t/s, tg_3s =  21.14 t/s
1.43.985.309 I slot print_timing: id  2 | task 1641 | n_decoded =    445, tg =  23.06 t/s, tg_3s =  21.15 t/s
